category,n_pairs,n_decisions,ai_wins,rate,ci_lo,ci_hi,p_vs_0.5,underpowered
TEACHER,89,623,459,0.7367576243980737,0.6991004347244781,0.7744148140716692,3.3591243190413064e-21,False
ADVOCATE,104,728,551,0.7568681318681318,0.7164723601989766,0.797263903537287,1.3041814584312794e-22,False
HEALTHCARE,100,700,532,0.7600000000000007,0.7258419908678823,0.7941580091321191,1.9328790868760012e-27,False
CHEF,96,672,521,0.7752976190476195,0.7397238277955388,0.8108714102997002,1.704090831053245e-27,False
HR,97,679,529,0.7790868924889549,0.7453199026386794,0.8128538823392304,1.331208255920812e-29,False
ARTS,89,623,487,0.7817014446227928,0.7468277132316011,0.8165751760139844,7.005526547262338e-28,False
AVIATION,97,679,531,0.7820324005891022,0.7474886970809588,0.8165761040972456,3.1669491736375133e-29,False
FITNESS,96,672,527,0.7842261904761911,0.7503671816291019,0.8180851993232804,5.9617945726627976e-30,False
AGRICULTURE,52,364,286,0.7857142857142854,0.7444123676330399,0.8270162037955309,5.823820084089142e-19,False
CONSTRUCTION,93,651,512,0.7864823348694323,0.7510749444702026,0.821889725268662,1.8944494194391625e-28,False
PUBLIC-RELATIONS,94,658,518,0.7872340425531923,0.7549111633802004,0.8195569217261842,1.9475280585264752e-31,False
ACCOUNTANT,99,693,550,0.7936507936507937,0.7620637709860414,0.825237816315546,1.2008787351306925e-33,False
ENGINEERING,100,700,557,0.7957142857142866,0.7614672908399409,0.8299612805886323,2.2438123088242524e-31,False
BANKING,100,700,558,0.797142857142858,0.7646157309825907,0.8296699833031254,3.2241125141837236e-33,False
CONSULTANT,95,665,531,0.7984962406015037,0.7701809796424939,0.8268115015605135,3.717686452983395e-37,False
APPAREL,76,532,427,0.8026315789473676,0.7676886598296968,0.8375744980650384,7.9529785817441635e-28,False
DIGITAL-MEDIA,79,553,444,0.8028933092224235,0.7676528130764895,0.8381338053683576,3.9773047685914783e-28,False
INFORMATION-TECH,103,721,583,0.8085991678224685,0.7741697370920448,0.8430285985528922,5.134961325673552e-33,False
DESIGNER,98,686,555,0.8090379008746365,0.7780036322834287,0.8400721694658442,8.740610930630864e-36,False
BUSINESS-DEV,94,658,533,0.8100303951367789,0.7808055863374314,0.8392552039361264,3.5930501551131953e-37,False
SALES,104,728,594,0.815934065934066,0.786028539475267,0.8458395923928651,6.309328718223774e-39,False
FINANCE,109,763,623,0.816513761467891,0.7893681904542339,0.8436593324815481,1.3049617773736983e-43,False
BPO,17,119,98,0.8235294117647054,0.7522720907824865,0.8947867327469243,4.662657880865516e-08,True
AUTOMOBILE,28,196,163,0.8316326530612244,0.7792900378448906,0.8839752682775581,3.8905726784013803e-13,True
