,coef,se_clustered,p_clustered
const,2.0079603632961787,0.06753937409521485,3.1251187332703924e-194
delta_entropy,0.14997738105054642,0.028216865754463718,1.0655898587622969e-07
delta_rolling_entropy,0.01145908749501226,0.023275471872710795,0.6224898888202754
delta_sentence_entropy_variance,0.0027873508255769766,0.027260871452068146,0.9185603750554928
delta_lexical_density,-0.1779662573810882,0.10300620744119184,0.08403778714805457
delta_pattern_regularity,-0.015433194355289918,0.04013707060901682,0.7005988362418791
delta_repetition,0.08463064708361236,0.11176572657872359,0.4489212663803417
delta_sentence_evenness,0.004328867932146362,0.024579417740121602,0.8602015583841007
delta_tonal_stability,-0.017537681612547384,0.022060179122967847,0.4266177419910161
model_gemma3:12b,-0.671856317287086,0.08370942077412015,1.0065806732813608e-15
model_gemma3:4b,-1.0724803911165508,0.0840261328464184,2.616379528708846e-37
model_mistral-small3.2:latest,-0.6545097582571449,0.08560693066437657,2.080977322601872e-14
model_qwen2.5:14b,0.08380813487812604,0.0975229436288805,0.3901373045360613
model_qwen2.5:32b,-0.149292259978047,0.09088144905873244,0.1004420495718223
model_qwen2.5:3b,-1.5913701736885562,0.08100142683479378,6.230741565873385e-86
