pair_id,orig_tokens,pol_tokens,delta_tokens,ai_win_fraction,n_models
10138632,730,436,-294,0.7142857142857143,7
10176815,695,476,-219,0.8571428571428571,7
10182582,294,380,86,0.8571428571428571,7
10186968,508,490,-18,0.7142857142857143,7
10268614,691,761,70,0.7142857142857143,7
10395944,493,455,-38,1.0,7
10464113,914,529,-385,0.8571428571428571,7
10466208,900,437,-463,0.7142857142857143,7
10466583,242,259,17,1.0,7
10480456,2067,692,-1375,0.7142857142857143,7
10549585,724,571,-153,0.5714285714285714,7
10553553,614,614,0,1.0,7
10554045,871,444,-427,0.5714285714285714,7
10554236,3426,670,-2756,0.7142857142857143,7
10562768,814,581,-233,0.7142857142857143,7
10567764,928,501,-427,0.8571428571428571,7
10624813,876,686,-190,0.7142857142857143,7
10659182,631,508,-123,1.0,7
10738095,1044,684,-360,0.5714285714285714,7
10748989,689,647,-42,0.42857142857142855,7
10751444,1062,688,-374,1.0,7
10820510,339,394,55,0.7142857142857143,7
10830646,1178,649,-529,0.42857142857142855,7
10840430,913,624,-289,1.0,7
10926726,701,641,-60,0.8571428571428571,7
10945968,757,533,-224,1.0,7
10953078,709,581,-128,0.5714285714285714,7
10969918,652,499,-153,0.5714285714285714,7
10984392,831,564,-267,0.7142857142857143,7
11121498,805,618,-187,1.0,7
11152490,1714,916,-798,0.8571428571428571,7
11174187,1259,480,-779,1.0,7
11188218,786,631,-155,0.8571428571428571,7
11232471,265,287,22,0.7142857142857143,7
11262933,842,601,-241,0.7142857142857143,7
11289482,1009,547,-462,0.5714285714285714,7
11333001,743,600,-143,0.7142857142857143,7
11336022,405,353,-52,1.0,7
11393213,677,367,-310,0.8571428571428571,7
11441764,769,643,-126,0.8571428571428571,7
11480899,1097,603,-494,1.0,7
11522068,189,222,33,0.7142857142857143,7
11580408,734,552,-182,1.0,7
11584809,622,601,-21,0.7142857142857143,7
11592605,644,488,-156,0.5714285714285714,7
11698189,488,477,-11,0.8571428571428571,7
11704150,583,545,-38,0.7142857142857143,7
11722421,621,630,9,0.8571428571428571,7
11807040,1258,602,-656,0.5714285714285714,7
11813872,1240,775,-465,0.8571428571428571,7
11887930,814,504,-310,0.5714285714285714,7
11919526,838,801,-37,1.0,7
11958994,748,577,-171,1.0,7
11995013,754,493,-261,0.8571428571428571,7
12021752,625,609,-16,0.8571428571428571,7
12022566,707,601,-106,0.8571428571428571,7
12059198,385,421,36,0.8571428571428571,7
12059610,898,441,-457,1.0,7
12065211,769,558,-211,0.8571428571428571,7
12071138,1363,765,-598,1.0,7
12082377,594,445,-149,1.0,7
12085736,749,666,-83,0.7142857142857143,7
12144825,505,500,-5,1.0,7
12155206,583,584,1,0.8571428571428571,7
12191094,702,445,-257,1.0,7
12212468,1151,603,-548,0.5714285714285714,7
12254068,871,519,-352,0.5714285714285714,7
12351749,428,413,-15,0.5714285714285714,7
12545844,343,359,16,0.7142857142857143,7
12547982,1058,675,-383,0.7142857142857143,7
12587973,679,445,-234,1.0,7
12613221,412,430,18,0.8571428571428571,7
12632728,0,14,14,0.8571428571428571,7
12674256,767,591,-176,0.8571428571428571,7
12674307,402,475,73,0.5714285714285714,7
12693146,1124,495,-629,0.5714285714285714,7
12695537,740,590,-150,0.7142857142857143,7
12696104,104,219,115,1.0,7
12717345,666,614,-52,1.0,7
12780508,968,545,-423,0.8571428571428571,7
12786012,608,581,-27,0.7142857142857143,7
12791244,519,497,-22,0.8571428571428571,7
12802330,809,646,-163,0.8571428571428571,7
12839152,928,511,-417,0.5714285714285714,7
12920612,827,758,-69,1.0,7
12938200,683,459,-224,0.8571428571428571,7
12955994,1080,644,-436,0.8571428571428571,7
13014900,1535,514,-1021,0.8571428571428571,7
13037145,338,368,30,1.0,7
13087952,594,446,-148,1.0,7
13115648,633,643,10,0.7142857142857143,7
13129275,647,539,-108,0.7142857142857143,7
13264796,2497,732,-1765,0.5714285714285714,7
13294301,602,382,-220,0.5714285714285714,7
13296856,563,563,0,0.5714285714285714,7
13313917,685,584,-101,0.5714285714285714,7
13342150,724,547,-177,1.0,7
13348915,659,506,-153,0.8571428571428571,7
13385306,707,535,-172,1.0,7
13386301,878,756,-122,1.0,7
13393401,772,530,-242,0.5714285714285714,7
13405229,929,399,-530,1.0,7
13518263,306,359,53,0.8571428571428571,7
13520837,817,520,-297,0.7142857142857143,7
13565152,1578,514,-1064,0.8571428571428571,7
13569152,669,571,-98,0.7142857142857143,7
13727873,1449,548,-901,1.0,7
13764840,274,350,76,0.7142857142857143,7
13807808,311,335,24,0.7142857142857143,7
13809698,580,510,-70,1.0,7
13812481,671,445,-226,0.7142857142857143,7
13836471,594,605,11,0.8571428571428571,7
13888506,459,485,26,0.8571428571428571,7
13907230,255,280,25,0.5714285714285714,7
13909762,989,497,-492,0.8571428571428571,7
13915715,528,400,-128,0.5714285714285714,7
13982572,581,502,-79,0.8571428571428571,7
13998435,850,627,-223,1.0,7
14062078,959,492,-467,0.7142857142857143,7
14070138,939,519,-420,0.5714285714285714,7
14128006,633,609,-24,0.7142857142857143,7
14241621,818,672,-146,0.8571428571428571,7
14248724,332,339,7,0.7142857142857143,7
14256329,676,509,-167,0.8571428571428571,7
14267489,849,433,-416,0.8571428571428571,7
14278888,700,581,-119,0.7142857142857143,7
14364597,601,533,-68,0.8571428571428571,7
14381464,115,170,55,0.7142857142857143,7
14391434,856,557,-299,0.8571428571428571,7
14408510,611,579,-32,0.8571428571428571,7
14445309,616,529,-87,1.0,7
14449423,965,568,-397,0.42857142857142855,7
14517953,657,513,-144,0.5714285714285714,7
14528265,304,332,28,0.5714285714285714,7
