pair_id,category,orig_term_count,pol_term_count,retained_count,dropped_count,added_count,dropped_terms,added_terms,retention_rate,undefined_retention,numbers_added,numbers_removed,numbers_changed,placeholder_damaged,preserved_0.90,preserved_0.95,preserved_1.00
10138632,SALES,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
10176815,AVIATION,2,2,2,0,0,,,1.0,False,0,4,0,False,True,True,True
10182582,APPAREL,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
10186968,ADVOCATE,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
10268614,FITNESS,2,2,2,0,0,,,1.0,False,1,0,0,False,False,False,False
10395944,AVIATION,0,2,0,0,2,,aircraft systems;ramp operations,,True,0,0,0,False,False,False,False
10464113,SALES,5,5,5,0,0,,,1.0,False,2,3,0,False,False,False,False
10466208,HEALTHCARE,0,0,0,0,0,,,,True,0,1,2,True,False,False,False
10466583,DESIGNER,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
10480456,HEALTHCARE,0,0,0,0,0,,,,True,0,29,2,False,False,False,False
10549585,FINANCE,0,0,0,0,0,,,,True,0,1,0,False,False,False,False
10553553,INFORMATION-TECH,5,5,5,0,0,,,1.0,False,0,4,0,False,True,True,True
10554045,PUBLIC-RELATIONS,1,1,1,0,0,,,1.0,False,0,5,0,False,True,True,True
10554236,ACCOUNTANT,8,6,6,2,0,billing;consolidations,,0.75,False,0,34,2,False,False,False,False
10562768,APPAREL,2,3,2,0,1,,data analysis,1.0,False,0,4,0,False,False,False,False
10567764,AVIATION,0,0,0,0,0,,,,True,0,4,0,False,False,False,False
10624813,ENGINEERING,1,1,1,0,0,,,1.0,False,0,14,1,False,False,False,False
10659182,ADVOCATE,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
10738095,APPAREL,2,3,2,0,1,,critical thinking,1.0,False,0,4,1,False,False,False,False
10748989,DESIGNER,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
10751444,DESIGNER,1,0,0,1,0,Sketch,,0.0,False,1,10,0,False,False,False,False
10820510,CONSTRUCTION,1,3,1,0,2,,materials management;project scheduling,1.0,False,0,1,0,False,False,False,False
10830646,ARTS,0,0,0,0,0,,,,True,0,42,1,False,False,False,False
10840430,INFORMATION-TECH,1,1,0,1,1,software development,cybersecurity,0.0,False,0,12,0,False,False,False,False
10926726,PUBLIC-RELATIONS,1,2,1,0,1,,Adobe Photoshop,1.0,False,0,0,0,False,False,False,False
10945968,AVIATION,1,1,1,0,0,,,1.0,False,0,7,2,False,False,False,False
10953078,AGRICULTURE,0,0,0,0,0,,,,True,0,7,0,False,False,False,False
10969918,FITNESS,0,0,0,0,0,,,,True,0,2,0,False,False,False,False
10984392,CONSULTANT,0,0,0,0,0,,,,True,1,4,1,False,False,False,False
11121498,CHEF,1,3,1,0,2,,food safety;menu planning,1.0,False,0,1,0,False,False,False,False
11152490,AUTOMOBILE,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
11174187,ADVOCATE,1,1,1,0,0,,,1.0,False,0,19,2,False,False,False,False
11188218,ADVOCATE,0,0,0,0,0,,,,True,0,7,0,False,False,False,False
11232471,APPAREL,1,0,0,1,0,problem solving,,0.0,False,0,0,0,False,False,False,False
11262933,BANKING,0,0,0,0,0,,,,True,0,3,0,False,False,False,False
11289482,BUSINESS-DEV,3,4,3,0,1,,risk management,1.0,False,1,1,0,False,False,False,False
11333001,AVIATION,0,0,0,0,0,,,,True,0,1,0,False,False,False,False
11336022,TEACHER,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
11393213,CONSTRUCTION,1,1,1,0,0,,,1.0,False,0,5,0,False,True,True,True
11441764,FINANCE,0,0,0,0,0,,,,True,1,3,0,False,False,False,False
11480899,HR,7,7,7,0,0,,,1.0,False,0,1,0,True,False,False,False
11522068,FITNESS,0,1,0,0,1,,group fitness instruction,,True,0,1,0,False,False,False,False
11580408,INFORMATION-TECH,2,2,2,0,0,,,1.0,False,2,20,0,False,False,False,False
11584809,INFORMATION-TECH,3,3,3,0,0,,,1.0,False,0,0,0,False,True,True,True
11592605,HR,1,2,0,1,2,recruitment,compliance;training and development,0.0,False,0,5,0,False,False,False,False
11698189,HR,2,2,2,0,0,,,1.0,False,0,2,0,False,True,True,True
11704150,HEALTHCARE,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
11722421,DESIGNER,1,1,1,0,0,,,1.0,False,0,2,0,False,True,True,True
11807040,DESIGNER,0,0,0,0,0,,,,True,0,12,3,True,False,False,False
11813872,AGRICULTURE,0,0,0,0,0,,,,True,1,1,2,False,False,False,False
11887930,AUTOMOBILE,0,0,0,0,0,,,,True,0,20,0,False,False,False,False
11919526,DESIGNER,0,0,0,0,0,,,,True,1,0,0,False,False,False,False
11958994,DESIGNER,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
11995013,ARTS,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
12021752,BANKING,2,2,1,1,1,credit analysis,financial analysis,0.5,False,0,3,0,False,False,False,False
12022566,ENGINEERING,9,10,8,1,2,PFMEA,AutoCAD;control systems,0.8888888888888888,False,1,3,1,False,False,False,False
12059198,BUSINESS-DEV,2,3,2,0,1,,budgeting,1.0,False,0,0,0,False,False,False,False
12059610,APPAREL,0,2,0,0,2,,Excel;leadership,,True,0,4,3,False,False,False,False
12065211,ACCOUNTANT,11,12,11,0,1,,tax preparation,1.0,False,1,1,3,False,False,False,False
12071138,FINANCE,2,1,1,1,0,valuation,,0.5,False,0,2,0,False,False,False,False
12082377,SALES,3,5,3,0,2,,negotiation;relationship building,1.0,False,0,1,0,False,False,False,False
12085736,DIGITAL-MEDIA,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
12144825,AVIATION,0,0,0,0,0,,,,True,5,5,0,False,False,False,False
12155206,CHEF,1,0,0,1,0,baking,,0.0,False,1,1,0,False,False,False,False
12191094,PUBLIC-RELATIONS,2,2,2,0,0,,,1.0,False,0,4,1,False,False,False,False
12212468,CONSTRUCTION,3,3,2,1,1,framing,safety management,0.6666666666666666,False,0,43,1,False,False,False,False
12254068,CHEF,1,1,1,0,0,,,1.0,False,0,6,0,False,True,True,True
12351749,SALES,3,2,2,1,0,outside sales,,0.6666666666666666,False,0,1,1,False,False,False,False
12545844,PUBLIC-RELATIONS,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
12547982,DESIGNER,0,0,0,0,0,,,,True,1,4,0,False,False,False,False
12587973,TEACHER,0,0,0,0,0,,,,True,1,4,0,False,False,False,False
12613221,HEALTHCARE,1,1,1,0,0,,,1.0,False,1,3,0,False,False,False,False
12632728,BUSINESS-DEV,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
12674256,AGRICULTURE,0,0,0,0,0,,,,True,1,2,2,False,False,False,False
12674307,DESIGNER,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
12693146,CONSTRUCTION,3,3,3,0,0,,,1.0,False,1,6,0,False,False,False,False
12695537,CONSTRUCTION,0,0,0,0,0,,,,True,1,3,0,False,False,False,False
12696104,SALES,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
12717345,CHEF,4,5,3,1,2,menu planning,food preparation;food safety,0.75,False,0,1,0,False,False,False,False
12780508,ACCOUNTANT,6,7,6,0,1,,financial reporting,1.0,False,1,1,0,False,False,False,False
12786012,HR,8,10,8,0,2,,benefits administration;employee engagement,1.0,False,0,0,0,True,False,False,False
12791244,FITNESS,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
12802330,ACCOUNTANT,11,11,11,0,0,,,1.0,False,0,1,0,False,True,True,True
12839152,CONSTRUCTION,3,4,3,0,1,,materials management,1.0,False,0,0,0,False,False,False,False
12920612,PUBLIC-RELATIONS,1,1,1,0,0,,,1.0,False,0,4,0,False,True,True,True
12938200,HEALTHCARE,0,0,0,0,0,,,,True,0,3,0,False,False,False,False
12955994,CONSULTANT,0,1,0,0,1,,data analysis,,True,0,2,0,False,False,False,False
13014900,DESIGNER,1,0,0,1,0,visual design,,0.0,False,0,13,0,False,False,False,False
13037145,FITNESS,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
13087952,TEACHER,0,3,0,0,3,,classroom management;curriculum development;lesson planning,,True,0,6,0,False,False,False,False
13115648,ADVOCATE,1,1,1,0,0,,,1.0,False,0,0,0,False,True,True,True
13129275,PUBLIC-RELATIONS,3,2,2,1,0,social media content,,0.6666666666666666,False,0,0,0,False,False,False,False
13264796,ENGINEERING,2,2,2,0,0,,,1.0,False,0,79,0,False,True,True,True
13294301,ACCOUNTANT,5,7,5,0,2,,account reconciliations;financial reporting,1.0,False,0,6,0,False,False,False,False
13296856,TEACHER,0,0,0,0,0,,,,True,1,0,0,False,False,False,False
13313917,CONSULTANT,0,0,0,0,0,,,,True,0,1,0,False,False,False,False
13342150,ADVOCATE,0,0,0,0,0,,,,True,1,0,0,False,False,False,False
13348915,SALES,2,3,2,0,1,,relationship building,1.0,False,0,0,0,False,False,False,False
13385306,INFORMATION-TECH,6,6,6,0,0,,,1.0,False,0,3,0,False,True,True,True
13386301,APPAREL,4,2,2,2,0,problem solving;teamwork,,0.5,False,2,6,0,False,False,False,False
13393401,BANKING,2,3,2,0,1,,credit analysis,1.0,False,0,6,12,False,False,False,False
13405229,AVIATION,0,0,0,0,0,,,,True,0,15,3,True,False,False,False
13518263,DESIGNER,0,0,0,0,0,,,,True,0,0,0,False,False,False,False
13520837,HR,6,7,6,0,1,,organizational development,1.0,False,0,8,0,False,False,False,False
