"=== Full-corpus local baseline (7 models, all their available decisions, unfiltered) ==="
k,n,rate,paper_8model_2109pair_rate_for_context
11669,14763,0.7904220009483167,0.79

"=== Threshold t=0.90 (cluster-robust, clustered on pair_id) ==="
subset_pair_count,360
pooled_k,pooled_n,pooled_rate,cluster_ci_95_lo,cluster_ci_95_hi,n_clusters,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
1983,2520,0.7869047619047619,0.7696389822009233,0.8041705416085783,2109,5.363929148087401e-189,-0.004241199052520937,0.6599807283534458

model,subset_k,subset_n,subset_rate,local_baseline_k,local_baseline_n,local_baseline_rate,paper_table1_rate,cluster_ci_95_lo,cluster_ci_95_hi,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
cogito:3b,310,360,0.8611111111111112,1856,2109,0.8800379326695116,0.88,0.8253496180932326,0.8968726041289791,3.512502767851989e-80,-0.022822565275396514,0.24870502588499338
gemma3:12b,292,360,0.8111111111111111,1666,2109,0.7899478425794215,0.79,0.7706352893308394,0.8515869328913767,7.715047623278659e-49,0.02551934438726916,0.2643176734073459
gemma3:4b,265,360,0.7361111111111112,1511,2109,0.7164532954006638,0.716,0.6905352867764222,0.7816869354457959,1.0448898070096607e-23,0.023704021345531113,0.3553147695993154
mistral-small3.2:latest,293,360,0.8138888888888889,1672,2109,0.7927927927927928,0.793,0.7736430481339827,0.8541347296437891,3.673425802582924e-50,0.02543834572136484,0.26318584958268937
qwen2.5:14b,323,360,0.8972222222222223,1874,2109,0.8885727833096254,0.888,0.8658206121755068,0.9286238322689286,2.06161497310911e-119,0.0104297693920334,0.5561068161565693
qwen2.5:32b,307,360,0.8527777777777777,1821,2109,0.8634423897581792,0.863,0.81613765540719,0.8894179001483564,1.356225583391218e-73,-0.01285972936916395,0.5282565628665676
qwen2.5:3b,193,360,0.5361111111111111,1269,2109,0.6017069701280228,0.602,0.4845423517859561,0.5876798704362596,0.16981863585318097,-0.07909757956928024,0.006000097349764444

"=== Threshold t=0.95 (cluster-robust, clustered on pair_id) ==="
subset_pair_count,359
pooled_k,pooled_n,pooled_rate,cluster_ci_95_lo,cluster_ci_95_hi,n_clusters,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
1978,2513,0.7871070433744528,0.7697977297741674,0.8044163569747496,2109,1.9297384543449558e-188,-0.003994997441875162,0.6791912247486467

model,subset_k,subset_n,subset_rate,local_baseline_k,local_baseline_n,local_baseline_rate,paper_table1_rate,cluster_ci_95_lo,cluster_ci_95_hi,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
cogito:3b,309,359,0.8607242339832869,1856,2109,0.8800379326695116,0.88,0.8248711834630719,0.8965772845034984,1.165281716302438e-79,-0.023275766016713117,0.24041970268752672
gemma3:12b,292,359,0.8133704735376045,1666,2109,0.7899478425794215,0.79,0.7730253826397672,0.8537155644354394,8.743479548109857e-50,0.028227616394747777,0.21578446758126724
gemma3:4b,264,359,0.7353760445682451,1511,2109,0.7164532954006638,0.716,0.6896960927374296,0.7810559963990584,1.7817836848900712e-23,0.022804615996816935,0.3747182939252631
mistral-small3.2:latest,292,359,0.8133704735376045,1672,2109,0.7927927927927928,0.793,0.7730253826397672,0.8537155644354394,8.743479548109857e-50,0.024799044966176315,0.27628962156559483
qwen2.5:14b,323,359,0.8997214484679665,1874,2109,0.8885727833096254,0.888,0.8686175817158682,0.930825315220062,1.0008141100912854e-122,0.01343573418225262,0.4449025570448262
qwen2.5:32b,306,359,0.8523676880222841,1821,2109,0.8634423897581792,0.863,0.8156343395113381,0.8891010365332266,4.194961585156906e-73,-0.013346597692001524,0.5136251718991344
qwen2.5:3b,192,359,0.5348189415041783,1269,2109,0.6017069701280228,0.602,0.48316889449549716,0.5864689885128561,0.18630052710998987,-0.08060962992439386,0.0051626463941424955

"=== Threshold t=1.00 (cluster-robust, clustered on pair_id) ==="
subset_pair_count,359
pooled_k,pooled_n,pooled_rate,cluster_ci_95_lo,cluster_ci_95_hi,n_clusters,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
1978,2513,0.7871070433744528,0.7697977297741674,0.8044163569747496,2109,1.9297384543449558e-188,-0.003994997441875162,0.6791912247486467

model,subset_k,subset_n,subset_rate,local_baseline_k,local_baseline_n,local_baseline_rate,paper_table1_rate,cluster_ci_95_lo,cluster_ci_95_hi,p_vs_0.5_clustered,diff_vs_complement,p_diff_vs_complement_clustered
cogito:3b,309,359,0.8607242339832869,1856,2109,0.8800379326695116,0.88,0.8248711834630719,0.8965772845034984,1.165281716302438e-79,-0.023275766016713117,0.24041970268752672
gemma3:12b,292,359,0.8133704735376045,1666,2109,0.7899478425794215,0.79,0.7730253826397672,0.8537155644354394,8.743479548109857e-50,0.028227616394747777,0.21578446758126724
gemma3:4b,264,359,0.7353760445682451,1511,2109,0.7164532954006638,0.716,0.6896960927374296,0.7810559963990584,1.7817836848900712e-23,0.022804615996816935,0.3747182939252631
mistral-small3.2:latest,292,359,0.8133704735376045,1672,2109,0.7927927927927928,0.793,0.7730253826397672,0.8537155644354394,8.743479548109857e-50,0.024799044966176315,0.27628962156559483
qwen2.5:14b,323,359,0.8997214484679665,1874,2109,0.8885727833096254,0.888,0.8686175817158682,0.930825315220062,1.0008141100912854e-122,0.01343573418225262,0.4449025570448262
qwen2.5:32b,306,359,0.8523676880222841,1821,2109,0.8634423897581792,0.863,0.8156343395113381,0.8891010365332266,4.194961585156906e-73,-0.013346597692001524,0.5136251718991344
qwen2.5:3b,192,359,0.5348189415041783,1269,2109,0.6017069701280228,0.602,0.48316889449549716,0.5864689885128561,0.18630052710998987,-0.08060962992439386,0.0051626463941424955

