definition,feature,n_won,n_lost,U,p,r
any,entropy,1667,442,411958.5,0.0001301322662356399,-0.11821572337116293
any,perplexity,1667,442,411958.5,0.0001301322662356399,-0.11821572337116293
any,rolling_entropy,1667,442,375463.5,0.5353166743587228,-0.019154087734489345
any,sentence_entropy_variance,1667,442,369143.5,0.9484432207763892,-0.0019991476817757814
any,lexical_density,1667,442,354244.0,0.21340466504067968,0.038443894931420974
any,pattern_regularity,1667,442,365398.0,0.7915378217651476,0.008167597249780778
any,repetition,1667,442,357824.5,0.3525315291210528,0.028725024225924045
any,sentence_evenness,1667,442,384551.5,0.15609032399383224,-0.04382245722801148
any,tonal_stability,1667,442,362870.5,0.6267050446926842,0.015028216076241718
majority,entropy,114,1995,149673.0,1.2996817030574301e-08,-0.31621158158554286
majority,perplexity,114,1995,149673.0,1.2996817030574301e-08,-0.31621158158554286
majority,rolling_entropy,114,1995,121724.0,0.20536386112932115,-0.07043046212021276
majority,sentence_entropy_variance,114,1995,114745.0,0.8706766549059923,-0.00905773204942184
majority,lexical_density,114,1995,99001.0,0.019980911992332876,0.12939365958756543
majority,pattern_regularity,114,1995,121664.0,0.20877938239634486,-0.06990282724354757
majority,repetition,114,1995,99586.5,0.025475270668761447,0.1242448225827727
majority,sentence_evenness,114,1995,124688.0,0.08271842492793836,-0.09649562502748088
majority,tonal_stability,114,1995,99728.0,0.026984459886102596,0.12300048366530358
